domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,dns_name,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,default_dns,isp_name_speedtest,time_date
http://bbclientes.com,200,0,0,7,MyDNS,104.21.27.5,403,FALSE,TRUE,1,1,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,MyDNS,172.67.139.206,403,FALSE,TRUE,1,1,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,GoogleDNS,172.67.139.206,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,GoogleDNS,104.21.27.5,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,Cloudflare,104.21.27.5,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,Cloudflare,172.67.139.206,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://bbclientes.com,200,0,0,7,MyDNS,172.67.139.206,403,FALSE,TRUE,1,1,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,MyDNS,104.21.27.5,403,FALSE,TRUE,1,1,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,GoogleDNS,172.67.139.206,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,GoogleDNS,104.21.27.5,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,Cloudflare,104.21.27.5,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,Cloudflare,172.67.139.206,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 17:25
http://bbclientes.com,200,0,0,7,MyDNS,172.67.139.206,403,FALSE,TRUE,1,1,Optus,8/06/2021 17:27
http://bbclientes.com,200,0,0,7,MyDNS,104.21.27.5,403,FALSE,TRUE,1,1,Optus,8/06/2021 17:27
http://bbclientes.com,200,0,0,7,GoogleDNS,172.67.139.206,403,FALSE,TRUE,1,0,Optus,8/06/2021 17:27
http://bbclientes.com,200,0,0,7,GoogleDNS,104.21.27.5,403,FALSE,TRUE,1,0,Optus,8/06/2021 17:27
http://bbclientes.com,200,0,0,7,Cloudflare,172.67.139.206,403,FALSE,TRUE,1,0,Optus,8/06/2021 17:27
http://bbclientes.com,200,0,0,7,Cloudflare,104.21.27.5,403,FALSE,TRUE,1,0,Optus,8/06/2021 17:27
http://britishgas-update.co.uk/,200,0,0,27,MyDNS,35.155.30.240,403,FALSE,FALSE,0,1,Optus,8/06/2021 14:21
http://britishgas-update.co.uk/,200,0,0,27,GoogleDNS,35.155.30.240,403,FALSE,FALSE,0,0,Optus,8/06/2021 14:21
http://britishgas-update.co.uk/,200,0,0,27,Cloudflare,35.155.30.240,403,FALSE,FALSE,0,0,Optus,8/06/2021 14:21
http://britishgas-update.co.uk/,200,0,0,27,MyDNS,35.155.30.240,403,FALSE,FALSE,0,1,Optus,8/06/2021 14:43
http://britishgas-update.co.uk/,200,0,0,27,GoogleDNS,35.155.30.240,403,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://britishgas-update.co.uk/,200,0,0,27,Cloudflare,35.155.30.240,403,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://britishgas-update.co.uk/,ERROR,0,0,N/A,MyDNS,35.155.30.240,403,FALSE,FALSE,0,1,Australian Academic and Research Network,8/06/2021 15:00
http://britishgas-update.co.uk/,ERROR,0,0,N/A,GoogleDNS,35.155.30.240,403,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:00
http://britishgas-update.co.uk/,ERROR,0,0,N/A,Cloudflare,35.155.30.240,403,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:00
http://britishgas-update.co.uk/,200,0,0,27,MyDNS,35.155.30.240,403,FALSE,FALSE,0,1,Telstra Internet,8/06/2021 15:39
http://britishgas-update.co.uk/,200,0,0,27,GoogleDNS,35.155.30.240,403,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
http://britishgas-update.co.uk/,200,0,0,27,Cloudflare,35.155.30.240,403,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,MyDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,1,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,MyDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,1,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,GoogleDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,GoogleDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,Cloudflare,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,ERROR,0,0,N/A,Cloudflare,151.101.65.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,MyDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 16:57
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,MyDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 16:57
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,GoogleDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Optus,8/06/2021 16:57
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,GoogleDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,0,Optus,8/06/2021 16:57
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,Cloudflare,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Optus,8/06/2021 16:57
http://clouddoc-authorize.firebaseapp.com,200,0,0,3,Cloudflare,151.101.65.195,ERROR,FALSE,FALSE,N/A,0,Optus,8/06/2021 16:57
http://laraccount.com/,200,0,0,20,MyDNS,66.235.200.145,403,FALSE,TRUE,1,1,Optus,8/06/2021 14:43
http://laraccount.com/,200,0,0,20,GoogleDNS,66.235.200.145,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:43
http://laraccount.com/,200,0,0,20,Cloudflare,66.235.200.145,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:43
http://laraccount.com/,ERROR,0,0,N/A,MyDNS,66.235.200.145,403,FALSE,TRUE,1,1,Australian Academic and Research Network,8/06/2021 15:10
http://laraccount.com/,ERROR,0,0,N/A,GoogleDNS,66.235.200.145,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 15:10
http://laraccount.com/,ERROR,0,0,N/A,Cloudflare,66.235.200.145,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 15:10
http://laraccount.com/,200,0,0,20,MyDNS,66.235.200.145,403,FALSE,TRUE,1,1,Telstra Internet,8/06/2021 15:39
http://laraccount.com/,200,0,0,20,GoogleDNS,66.235.200.145,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 15:39
http://laraccount.com/,200,0,0,20,Cloudflare,66.235.200.145,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 15:39
http://login.outlook.tx7.fr,200,0,0,5,MyDNS,212.129.37.99,200,FALSE,FALSE,5,1,Optus,8/06/2021 14:43
http://login.outlook.tx7.fr,200,0,0,5,GoogleDNS,212.129.37.99,200,FALSE,FALSE,5,0,Optus,8/06/2021 14:43
http://login.outlook.tx7.fr,200,0,0,5,Cloudflare,212.129.37.99,200,FALSE,FALSE,5,0,Optus,8/06/2021 14:43
http://login.outlook.tx7.fr,200,0,0,5,MyDNS,212.129.37.99,200,FALSE,FALSE,5,1,Australian Academic and Research Network,8/06/2021 15:10
http://login.outlook.tx7.fr,200,0,0,5,GoogleDNS,212.129.37.99,200,FALSE,FALSE,5,0,Australian Academic and Research Network,8/06/2021 15:10
http://login.outlook.tx7.fr,200,0,0,5,Cloudflare,212.129.37.99,200,FALSE,FALSE,5,0,Australian Academic and Research Network,8/06/2021 15:10
http://login.outlook.tx7.fr,200,0,0,5,MyDNS,212.129.37.99,200,FALSE,FALSE,5,1,Telstra Internet,8/06/2021 15:39
http://login.outlook.tx7.fr,200,0,0,5,GoogleDNS,212.129.37.99,200,FALSE,FALSE,5,0,Telstra Internet,8/06/2021 15:39
http://login.outlook.tx7.fr,200,0,0,5,Cloudflare,212.129.37.99,200,FALSE,FALSE,5,0,Telstra Internet,8/06/2021 15:39
http://mail.glui.eu/,200,0,0,10,MyDNS,151.80.80.206,200,FALSE,FALSE,0,1,Optus,8/06/2021 14:43
http://mail.glui.eu/,200,0,0,10,GoogleDNS,151.80.80.206,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://mail.glui.eu/,200,0,0,10,Cloudflare,151.80.80.206,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://mail.glui.eu/,ERROR,0,0,N/A,MyDNS,151.80.80.206,200,FALSE,FALSE,0,1,Australian Academic and Research Network,8/06/2021 15:10
http://mail.glui.eu/,ERROR,0,0,N/A,GoogleDNS,151.80.80.206,200,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:10
http://mail.glui.eu/,ERROR,0,0,N/A,Cloudflare,151.80.80.206,200,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:10
http://mail.glui.eu/,200,0,0,10,MyDNS,151.80.80.206,200,FALSE,FALSE,0,1,Telstra Internet,8/06/2021 15:39
http://mail.glui.eu/,200,0,0,10,GoogleDNS,151.80.80.206,200,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
http://mail.glui.eu/,200,0,0,10,Cloudflare,151.80.80.206,200,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
http://miltonwoods.co.uk,200,0,0,0,MyDNS,217.160.0.88,404,FALSE,FALSE,0,1,Australian Academic and Research Network,8/06/2021 16:48
http://miltonwoods.co.uk,200,0,0,0,GoogleDNS,217.160.0.88,404,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 16:48
http://miltonwoods.co.uk,200,0,0,0,Cloudflare,217.160.0.88,404,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 16:48
http://miltonwoods.co.uk,200,0,0,0,MyDNS,217.160.0.88,404,FALSE,FALSE,0,1,Optus,8/06/2021 16:57
http://miltonwoods.co.uk,200,0,0,0,GoogleDNS,217.160.0.88,404,FALSE,FALSE,0,0,Optus,8/06/2021 16:57
http://miltonwoods.co.uk,200,0,0,0,Cloudflare,217.160.0.88,404,FALSE,FALSE,0,0,Optus,8/06/2021 16:57
http://miltonwoods.co.uk,200,0,0,0,MyDNS,217.160.0.88,404,FALSE,FALSE,0,1,Telstra Internet,8/06/2021 17:06
http://miltonwoods.co.uk,200,0,0,0,GoogleDNS,217.160.0.88,404,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 17:06
http://miltonwoods.co.uk,200,0,0,0,Cloudflare,217.160.0.88,404,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 17:06
http://netflix-us.readywitted.com,200,0,0,0,MyDNS,67.23.235.220,200,FALSE,FALSE,0,1,Optus,8/06/2021 14:43
http://netflix-us.readywitted.com,200,0,0,0,GoogleDNS,67.23.235.220,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://netflix-us.readywitted.com,200,0,0,0,Cloudflare,67.23.235.220,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
http://netflix-us.readywitted.com,200,0,0,0,MyDNS,67.23.235.220,200,FALSE,FALSE,0,1,Australian Academic and Research Network,8/06/2021 15:00
http://netflix-us.readywitted.com,200,0,0,0,GoogleDNS,67.23.235.220,200,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:00
http://netflix-us.readywitted.com,200,0,0,0,Cloudflare,67.23.235.220,200,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:00
http://netflix-us.readywitted.com,ERROR,0,0,N/A,MyDNS,Errno11002getaddrinfofailed,ERROR,FALSE,FALSE,N/A,1,Telstra Internet,8/06/2021 15:39
http://netflix-us.readywitted.com,ERROR,0,0,N/A,Cloudflare,67.23.235.220,ERROR,FALSE,FALSE,N/A,0,Telstra Internet,8/06/2021 15:39
http://oazmdon.onzdoma.top,404,0,0,0,GoogleDNS,202.95.19.214,200,FALSE,FALSE,0,0,Optus,8/06/2021 12:50
http://oazmdon.onzdoma.top,404,0,0,0,Cloudflare,202.95.19.214,200,FALSE,FALSE,0,0,Optus,8/06/2021 12:50
http://oazmdon.onzdoma.top,404,0,0,0,MyDNS,202.95.19.214,200,FALSE,FALSE,0,1,Optus,8/06/2021 14:15
http://oazmdon.onzdoma.top,404,0,0,0,GoogleDNS,202.95.19.214,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:15
http://oazmdon.onzdoma.top,404,0,0,0,Cloudflare,202.95.19.214,200,FALSE,FALSE,0,0,Optus,8/06/2021 14:15
http://walletconnectsync.net,200,0,0,0,MyDNS,172.67.139.254,403,FALSE,TRUE,1,1,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,MyDNS,104.21.49.8,403,FALSE,TRUE,1,1,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,GoogleDNS,172.67.139.254,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,GoogleDNS,104.21.49.8,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,Cloudflare,104.21.49.8,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,Cloudflare,172.67.139.254,403,FALSE,TRUE,1,0,Australian Academic and Research Network,8/06/2021 16:48
http://walletconnectsync.net,200,0,0,0,MyDNS,104.21.49.8,403,FALSE,TRUE,1,1,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,MyDNS,172.67.139.254,403,FALSE,TRUE,1,1,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,GoogleDNS,172.67.139.254,403,FALSE,TRUE,1,0,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,GoogleDNS,104.21.49.8,403,FALSE,TRUE,1,0,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,Cloudflare,172.67.139.254,403,FALSE,TRUE,1,0,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,Cloudflare,104.21.49.8,403,FALSE,TRUE,1,0,Optus,8/06/2021 16:57
http://walletconnectsync.net,200,0,0,0,MyDNS,104.21.49.8,403,FALSE,TRUE,1,1,Telstra Internet,8/06/2021 17:06
http://walletconnectsync.net,200,0,0,0,MyDNS,172.67.139.254,403,FALSE,TRUE,1,1,Telstra Internet,8/06/2021 17:06
http://walletconnectsync.net,200,0,0,0,GoogleDNS,172.67.139.254,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://walletconnectsync.net,200,0,0,0,GoogleDNS,104.21.49.8,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://walletconnectsync.net,200,0,0,0,Cloudflare,172.67.139.254,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://walletconnectsync.net,200,0,0,0,Cloudflare,104.21.49.8,403,FALSE,TRUE,1,0,Telstra Internet,8/06/2021 17:06
http://www.facebook.com/,200,0,0,17,GoogleDNS,157.240.8.35,200,FALSE,FALSE,17,0,Optus,8/06/2021 13:42
http://www.facebook.com/,200,0,0,17,Cloudflare,157.240.8.35,200,FALSE,FALSE,17,0,Optus,8/06/2021 13:42
https://acrobat.z13.web.core.windows.net/,200,0,0,1,MyDNS,20.60.128.65,400,FALSE,FALSE,0,1,Optus,8/06/2021 14:43
https://acrobat.z13.web.core.windows.net/,200,0,0,1,GoogleDNS,20.60.128.65,400,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
https://acrobat.z13.web.core.windows.net/,200,0,0,1,Cloudflare,20.60.128.65,400,FALSE,FALSE,0,0,Optus,8/06/2021 14:43
https://acrobat.z13.web.core.windows.net/,200,0,0,1,MyDNS,20.60.128.65,400,FALSE,FALSE,0,1,Australian Academic and Research Network,8/06/2021 15:10
https://acrobat.z13.web.core.windows.net/,200,0,0,1,GoogleDNS,20.60.128.65,400,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:10
https://acrobat.z13.web.core.windows.net/,200,0,0,1,Cloudflare,20.60.128.65,400,FALSE,FALSE,0,0,Australian Academic and Research Network,8/06/2021 15:10
https://acrobat.z13.web.core.windows.net/,200,0,0,1,MyDNS,20.60.128.65,400,FALSE,FALSE,0,1,Telstra Internet,8/06/2021 15:39
https://acrobat.z13.web.core.windows.net/,200,0,0,1,GoogleDNS,20.60.128.65,400,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
https://acrobat.z13.web.core.windows.net/,200,0,0,1,Cloudflare,20.60.128.65,400,FALSE,FALSE,0,0,Telstra Internet,8/06/2021 15:39
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,MyDNS,20.40.202.9,404,FALSE,FALSE,1,1,Australian Academic and Research Network,8/06/2021 16:48
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,GoogleDNS,20.40.202.9,404,FALSE,FALSE,1,0,Australian Academic and Research Network,8/06/2021 16:48
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,Cloudflare,20.40.202.9,404,FALSE,FALSE,1,0,Australian Academic and Research Network,8/06/2021 16:48
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,MyDNS,20.40.202.9,404,FALSE,FALSE,1,1,Optus,8/06/2021 16:57
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,GoogleDNS,20.40.202.9,404,FALSE,FALSE,1,0,Optus,8/06/2021 16:57
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,Cloudflare,20.40.202.9,404,FALSE,FALSE,1,0,Optus,8/06/2021 16:57
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,MyDNS,20.40.202.9,404,FALSE,FALSE,1,1,Telstra Internet,8/06/2021 17:06
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,GoogleDNS,20.40.202.9,404,FALSE,FALSE,1,0,Telstra Internet,8/06/2021 17:06
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9,Cloudflare,20.40.202.9,404,FALSE,FALSE,1,0,Telstra Internet,8/06/2021 17:06
https://animehd47.com/,200,0,0,46,MyDNS,104.21.85.65,403,FALSE,TRUE,1,1,Australian Academic and Research Network,7/06/2021 17:07
https://animehd47.com/,200,0,0,46,MyDNS,172.67.203.15,403,FALSE,TRUE,1,1,Australian Academic and Research Network,7/06/2021 17:07
https://animehd47.com/,200,0,0,46,GoogleDNS,172.67.203.15,403,FALSE,TRUE,1,0,Australian Academic and Research Network,7/06/2021 17:07
https://animehd47.com/,200,0,0,46,GoogleDNS,104.21.85.65,403,FALSE,TRUE,1,0,Australian Academic and Research Network,7/06/2021 17:07
