isp,domain,domain_name_blocking,ip_blocking,dns_poisoned,dns_injection
Telstra Internet,https://serviciosbndigitales.com/,0.0,0.0,0.0,0.0
Telstra Internet,http://bbclientes.com,0.0,0.0,0.0,0.0
Telstra Internet,https://animehd47.com/,0.0,0.0,1.0,0.0
Australian Academic and Research Network,http://login.outlook.tx7.fr,0.0,0.0,0.0,0.0
Optus,http://netflix-us.readywitted.com,0.0,0.0,0.0,0.0
Telstra Internet,https://www.event515mobilelegends.duckdns.org,0.0,0.0,0.0,0.0
Optus,https://serviciosbndigitales.com/,0.0,0.0,0.0,0.0
Optus,http://bbclientes.com,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://protect.prositedemos.com,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://ibit.to,0.0,0.0,0.0,0.0
Telstra Internet,http://netflix-us.readywitted.com,0.0,1.0,1.0,0.0
Australian Academic and Research Network,http://bbclientes.com,0.0,0.0,0.0,0.0
Optus,https://www.event515mobilelegends.duckdns.org,0.0,0.0,0.0,0.0
Telstra Internet,https://office365.auto1.casb.beta.forcepointgov.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://deltaflights.org/,0.0,0.0,0.0,0.0
Optus,https://office365.auto1.casb.beta.forcepointgov.com/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://vh368.timeweb.ru/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://torrentquest.com/,0.0,0.0,0.0,0.0
Optus,http://www.facebook.com/,0.0,0.0,0.0,0.0
Optus,https://deltaflights.org/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://kat.sx/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://acrobat.z13.web.core.windows.net/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,http://mail.glui.eu/,1.0,0.0,0.0,0.0
Australian Academic and Research Network,http://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Telstra Internet,https://kat.sx/,0.0,0.0,1.0,0.0
Australian Academic and Research Network,https://cuevana3.io/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://animehd47.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://www.tfp.is/,0.0,0.0,0.0,0.0
Telstra Internet,https://cuevana3.io/,0.0,0.0,1.0,0.0
Optus,https://kat.sx/,0.0,0.0,1.0,0.0
Australian Academic and Research Network,https://www.event515mobilelegends.duckdns.org,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://acrobat-cloud-services.azurewebsites.net,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://www.imovies.cc,0.0,0.0,0.0,0.0
Optus,https://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Optus,https://cuevana3.io/,0.0,0.0,1.0,0.0
Telstra Internet,http://britishgas-update.co.uk/,0.0,0.0,0.0,0.0
Telstra Internet,https://katcr.to/,0.0,0.0,1.0,0.0
Australian Academic and Research Network,https://office365.auto1.casb.beta.forcepointgov.com/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,http://britishgas-update.co.uk/,1.0,0.0,0.0,0.0
Optus,http://britishgas-update.co.uk/,0.0,0.0,0.0,0.0
Optus,https://katcr.to/,0.0,0.0,1.0,0.0
Optus,https://yahhooomailspports.weebly.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://yahhooomailspports.weebly.com/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://serviciosbndigitales.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://www.tfp.is/,0.0,0.0,1.0,0.0
Optus,http://mail.glui.eu/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,http://laraccount.com/,1.0,0.0,0.0,0.0
Optus,https://webhostingbingo.com,0.0,0.0,0.0,0.0
Optus,https://www.tfp.is/,0.0,0.0,1.0,0.0
Australian Academic and Research Network,https://deltaflights.org/,0.0,0.0,0.0,0.0
Telstra Internet,https://acrobat.z13.web.core.windows.net/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://katcr.to/,0.0,0.0,0.0,0.0
Telstra Internet,http://mail.glui.eu/,0.0,0.0,0.0,0.0
Optus,http://laraccount.com/,0.0,0.0,0.0,0.0
Optus,https://torrentquest.com/,0.0,0.0,1.0,0.0
Optus,https://intimki.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://webhostingbingo.com,0.0,0.0,0.0,0.0
Telstra Internet,https://lookmovie.ag,0.0,0.0,1.0,0.0
Optus,https://acrobat.z13.web.core.windows.net/,0.0,0.0,0.0,0.0
Telstra Internet,http://laraccount.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://torrentquest.com/,0.0,0.0,1.0,0.0
Telstra Internet,https://intimki.com/,0.0,0.0,0.0,0.0
Telstra Internet,https://protect.prositedemos.com,0.0,0.0,0.0,0.0
Optus,https://onionplay.eu,0.0,0.0,1.0,0.0
Optus,https://lookmovie.ag,0.0,0.0,1.0,0.0
Optus,https://protect.prositedemos.com,0.0,0.0,0.0,0.0
Telstra Internet,https://onionplay.eu,0.0,0.0,1.0,0.0
Optus,http://oazmdon.onzdoma.top,0.0,0.0,0.0,0.0
Telstra Internet,https://ibit.to,0.0,0.0,1.0,0.0
Australian Academic and Research Network,http://netflix-us.readywitted.com,0.0,0.0,0.0,0.0
Optus,http://login.outlook.tx7.fr,0.0,0.0,0.0,0.0
Optus,https://ibit.to,0.0,0.0,1.0,0.0
Telstra Internet,http://login.outlook.tx7.fr,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://yahhooomailspports.weebly.com/,0.0,0.0,0.0,0.0
Optus,https://www.imovies.cc,0.0,0.0,1.0,0.0
Australian Academic and Research Network,https://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Optus,http://miltonwoods.co.uk,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://lookmovie.ag,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://onionplay.eu,0.0,0.0,0.0,0.0
Telstra Internet,https://www.imovies.cc,0.0,0.0,1.0,0.0
Australian Academic and Research Network,http://walletconnectsync.net,0.0,0.0,0.0,0.0
Telstra Internet,http://miltonwoods.co.uk,0.0,0.0,0.0,0.0
Optus,http://walletconnectsync.net,0.0,0.0,0.0,0.0
Optus,https://acrobat-cloud-services.azurewebsites.net,0.0,0.0,0.0,0.0
Australian Academic and Research Network,http://miltonwoods.co.uk,0.0,0.0,0.0,0.0
Telstra Internet,https://vh368.timeweb.ru/,0.0,0.0,0.0,0.0
Telstra Internet,http://walletconnectsync.net,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://webhostingbingo.com,0.0,0.0,0.0,0.0
Telstra Internet,https://acrobat-cloud-services.azurewebsites.net,0.0,0.0,0.0,0.0
Optus,https://animehd47.com/,0.0,0.0,1.0,0.0
Optus,http://clouddoc-authorize.firebaseapp.com,0.0,0.0,0.0,0.0
Optus,https://vh368.timeweb.ru/,0.0,0.0,0.0,0.0
Australian Academic and Research Network,https://intimki.com/,0.0,0.0,0.0,0.0
